Customer ID,Customer Name,City,State/Province,Postal Code,Country/Region,Region
dp-13000,Darren Powers,Houston,Texas,77095,united states,Central
po-19195,Phillina Ober,Naperville,Illinois,60540,united states,Central
mb-18085,Mick Brown,Philadelphia,Pennsylvania,19143,united states,East
me-17320,Maria Etezadi,Henderson,Kentucky,42420,united states,South
jo-15145,Jack O'Briant,Athens,Georgia,30605,united states,South
ls-17230,Lycoris Saunders,Los Angeles,California,90049,united states,West
vs-21820,Vivek Sundaresam,Huntsville,Texas,77340,united states,Central
ms-17830,Melanie Seite,Laredo,Texas,78041,united states,Central
aj-10780,Anthony Jacobs,Springfield,Virginia,22153,united states,South
sv-20365,Seth Vernon,Dover,Delaware,19901,united states,East
bd-11605,Brian Dahlen,San Francisco,California,94109,united states,West
nd-18370,Natalie DeCherney,Mount Pleasant,South Carolina,29464,united states,South
mm-17920,Michael Moore,Newark,Ohio,43055,united states,East
cs-12250,Chris Selesnick,Bossier City,Louisiana,71111,united states,South
bs-11590,Brendan Sweed,Philadelphia,Pennsylvania,19140,united states,East
eh-13990,Erica Hackney,Roswell,Georgia,30076,united states,South
dl-13315,Delfina Latchford,Philadelphia,Pennsylvania,19134,united states,East
dw-13195,David Wiener,Springfield,Oregon,97477,united states,West
ts-21340,Toby Swindell,Scottsdale,Arizona,85254,united states,West
hl-15040,Hunter Lopez,Jonesboro,Arkansas,72401,united states,South
xp-21865,Xylona Preis,Westland,Michigan,48185,united states,Central
mv-17485,Mark Van Huff,Los Angeles,California,90049,united states,West
mm-18280,Muhammed MacIntyre,Smyrna,Tennessee,37167,united states,South
tb-21400,Tom Boeckenhauer,Miami,Florida,33180,united states,South
jw-15220,Jane Waco,Toronto,Ontario,,canada,East
sg-20605,Speros Goranitis,Lafayette,Indiana,47905,united states,Central
im-15055,Ionia McGrath,Las Vegas,Nevada,89115,united states,West
ca-11965,Carol Adams,Rapid City,South Dakota,57701,united states,Central
sd-20485,Shirley Daniels,Alexandria,Virginia,22304,united states,South
ej-13720,Ed Jacobs,San Diego,California,92037,united states,West
jc-15340,Jasper Cacioppo,New York City,New York,10024,united states,East
mv-18190,Mike Vittorini,Detroit,Michigan,48234,united states,Central
lc-17050,Liz Carlisle,Mission Viejo,California,92691,united states,West
bd-11500,Bradley Drucker,Green Bay,Wisconsin,54302,united states,Central
